id,address,parcel_weight,service_time,window_end
11610,"Chatrapati Sambhaji Road, Naupada, Thane, Maharashtra, 400602",27,10,07:42:00
11625,"Thane, Maharashtra, 400605",29,10,16:30:00
11626,"Majiwada, Thane, Maharashtra, 400601",26,10,15:11:00
11628,"Mumbra-Kausa Bypass, Amrut Nagar, Thane, Maharashtra, 400612",23,10,15:28:00
11630,"Mumbra, Thane, Maharashtra, 400612",11,10,12:00:00
11632,"Thane, Maharashtra, 400603",12,10,09:29:00
12686,"Chinchoti Anjur Phata Road, Vasai-Virar, Maharashtra",21,10,13:40:00
2972,"Kalbadevi, Maharashtra, 400020",11,10,20:58:00
2973,"Gamdevi, Maharashtra, 400036",12,10,08:51:00
2988,"S B Dhody Marg (Nesbit Road), Mazgaon, Maharashtra, 200008",24,10,08:57:00
3010,"G/N Ward, Maharashtra, 400017",15,10,08:49:00
3030,"R M Road, Dahisar West, Maharashtra, 400068",29,10,16:44:00
3031,"Dahisar East, Maharashtra, 400068",12,10,12:00:00
3032,"Dahisar East, Maharashtra, 400068",18,10,12:25:00
3053,"Thakur Village, Maharashtra, 400101",26,10,15:47:00
3055,"Lokhandwala Marg, Thakur Village, Maharashtra, 400101",23,10,16:22:00
3076,"Mulund - Airoli Link Road, Mulund East, Mumbai, Maharashtra, 400081",28,10,16:40:00
3087,"Versova, Mumbai, Maharashtra, 400061",21,10,17:02:00
3108,"Bhandup West, Mumbai, Maharashtra, 400078",30,10,12:31:00
3131,"Mahakali Caves Road, MIDC, Mumbai, Maharashtra, 400069",16,10,09:41:00
3134,"Mathuradas Vasanji Road, Andheri East, Mumbai, Maharashtra, 400069",30,10,10:47:00
3141,"Saki Naka, Mumbai, Maharashtra, 400096",19,10,08:00:00
3143,"Krantiveer Lakhuji Salve Marg, MIDC, Mumbai, Maharashtra, 400096",28,10,16:23:00
3145,"MIDC, Mumbai, Maharashtra, 400093",12,10,09:38:00
3147,"Chandivali, Mumbai, Maharashtra, 400071",25,10,09:56:00
3158,"Chheda Nagar, Mumbai, Maharashtra, 400012",11,10,15:39:00
3164,"Ghatkopar West, Mumbai, Maharashtra, 400086",14,10,20:27:00
3176,"Kurla West, Mumbai, Maharashtra, 400070",21,10,10:04:00
3178,"Kurla West, Mumbai, Maharashtra, 400070",19,10,07:47:00
3184,"Asalpha, Mumbai, Maharashtra, 400072",10,10,12:09:00
3186,"Panjabi chull, Chheda Nagar, Mumbai, Maharashtra, 400012",19,10,11:11:00
3461,"Kopar Khairne, Navi Mumbai, Maharashtra, 400709",21,10,10:29:00
3477,"Kopar Khairne, Navi Mumbai, Maharashtra, 400709",23,10,10:15:00
3480,"Kopar Khairne, Navi Mumbai, Maharashtra, 400709",21,10,08:52:00
3481,"Ghansoli, Navi Mumbai, Maharashtra, 400701",10,10,13:55:00
3485,"Ghansoli, Navi Mumbai, Maharashtra, 400701",12,10,08:54:00
3486,"Narayan Manoj Madvi Marg, Ghansoli, Navi Mumbai, Maharashtra, 400701",20,10,20:21:00
3501,"Airoli, Navi Mumbai, Maharashtra, 410701",22,10,10:37:00
3512,"Thane Belapur Road, Turbhe, Navi Mumbai, Maharashtra, 400703",13,10,08:57:00
3515,"Turbhe, Navi Mumbai, Maharashtra, 400705",11,10,18:24:00
3523,"Juinagar Station Road, Sanpada, Navi Mumbai, Maharashtra, 400056",28,10,14:50:00
3532,"Mata Amritanandamayi Marg, Nerul West, Navi Mumbai, Maharashtra, 400706",15,10,14:57:00
3550,"Ramesh Sankarrow Hebbar Marg, Seawoods West, Navi Mumbai, Maharashtra, 400706",19,10,16:17:00
3558,"Kalyan-Dombivli, Maharashtra, 421202",17,10,10:50:00
3560,"Dombivli East, Kalyan-Dombivli, Maharashtra, 421201",12,10,08:23:00
3567,"Dombivli West, Kalyan-Dombivli, Maharashtra, 421202",24,10,08:11:00
3585,"Savarkar Road, Thakurli, Kalyan-Dombivli, Maharashtra, 421201",24,10,15:52:00
3593,"Kalyan East, Dombivali, Maharashtra, 421306",12,10,12:00:00
3595,"Kalyan-Dombivli, Maharashtra, 421003",11,10,14:01:00
3598,"Kalyan-Dombivli, Maharashtra, 421306",23,10,12:00:00
3630,"Kalyan-Dombivli, Maharashtra, 410209",19,10,12:29:00
3633,"Kalyan-Dombivli, Maharashtra, 421102",15,10,16:48:00
3634,"Veer Savarkar Marg, Kalyan-Dombivli, Maharashtra, 410209",16,10,09:39:00
3658,"Kalyan-Dombivli, Maharashtra, 421306",30,10,15:50:00
3674,"Dombivli West, Kalyan-Dombivli, Maharashtra, 421202",28,10,19:54:00
3676,"Kalyan-Dombivli, Maharashtra, 421306",18,10,12:00:00
