id,address,parcel_weight,service_time,window_end,Coordinates 
1,"Wing-D, Station Rd, Bhayandar, Chandulal Park, Bhayandar West, Mira Bhayandar, Maharashtra 401101",25,15,07:42:00,
2,"Dr Keshav Baliram Hedgewar Rd, Bhayandar, Chandmal Nagar, Bhayandar West, Mira Bhayandar, Maharashtra 401101",10,10,16:30:00,
3,"Ravi Raj Industries, Gala No. 33, Behind Dharam Kanta, Near Janseva Shakari Bank, Phatak Road, Bhayander East, Thane, Maharashtra 401105",22,12,15:11:00,
4,"Kasturi Industrial Estate, V/8, G-1, Bhayandar, Sonam Sagar, Indira Nagar, Bhayandar East, Mumbai, Mira Bhayandar, Maharashtra 401105",12,18,15:28:00,"19.300167, 72.854479"
5,"Road, Golden Nest Circle, Phase 9, silent park, Bhayandar East, Mira Bhayandar, Mumbai, Maharashtra 401105",18,15,12:00:00,"19.295687125227033, 72.85966430543068"
6,"B11, Road, Medetiya Nagar, Queens Park, Mira Road East, Mumbai, Mira Bhayandar, Maharashtra 401105",16,10,09:29:00,"19.29454122143305, 72.86661734403845"
7,"302, Kanakia Township, Gaurav City, Mira Road East, Mira Bhayandar, Maharashtra 401107",14,12,13:40:00,"19.292031756498446, 72.87764789343551"
8,"below Wilfred School, near TVS Showroom, Sanghvi Nagar, Pleasant Park, Mira Road East, Mumbai, Mira Bhayandar, Maharashtra 401107",15,18,20:58:00,"19.27886407003992, 72.87526968464893"
9,"8/102, Shanti Gardens Rd, Sector 2, Gaurav Galaxy, Mira Road East, Mira Bhayandar, Maharashtra 401107",8,15,08:51:00,"19.27140628862647, 72.87083758464846"
10,"Swagat Inn,Mira Road East, Mira Bhayandar, Maharashtra 401107",19,10,08:57:00,"19.26028667555362, 72.87222598222671"
11,"A-WING, Blue Bell Society, Avdhut Nagar, Dahisar East, Mumbai, Maharashtra 400068",25,12,08:49:00,"19.256737438957437, 72.86458680618567"
12,"Kwini House, Mosquita Nagar, A2, Hari Shankar Joshi Rd, Krishna Colony, Dahisar East, Mumbai, Maharashtra 400068",10,18,16:44:00,"19.254776103512903, 72.85960873920747"
13,"Mhatre Wadi, Dahisar West, Mumbai, Maharashtra 400068",22,15,12:00:00,"19.25286994848979, 72.85827397768134"
14,"6VX4+QFR, Santoshi Mata Rd, Jai Yogeshwari, Mandapeshwar, Dahisar West, Mumbai, Maharashtra 400068",12,10,12:25:00,"19.24954105059219, 72.85619878671703"
15,"A6-18, LIC Rd Number 2, Aary Colony, LIC Colony, Borivali West, Mumbai, Maharashtra 400103",18,12,15:47:00,"19.241662475103396, 72.85114664660014"
16,"MHADA Bldg, 2-A, Gorai 3, Borivali West, Mumbai, Maharashtra 400091",16,18,16:22:00,"19.23168953180616, 72.83628582780875"
17,"Samabhav Society, Gorai 2, Borivali, Mumbai, Maharashtra 400091",14,15,16:40:00,"19.228783606462123, 72.82207671319756"
18,"GALA NO 23,24 & 25 SAI COMPOUND CTS NO 149,, SURVEY NO 29 HISSA NO 13 LAXMI NAGAR CHARKOP VILLAGE, Mumbai, Maharashtra 400067",15,10,17:02:00,"19.211069801778137, 72.81697962567543"
19,"Gate Number 8, 52, 409, Mhada Rd, opposite Bus Depot, Gaikwad Nagar, Malvani, Malad West, Mumbai, Maharashtra 400095",8,12,12:31:00,"19.18316651247674, 72.81890861187088"
20,"5RG5+FWQ, Malad, Ambojwadi, Malad West, Mumbai, Maharashtra 400095",19,18,09:41:00,"19.176262740583127, 72.80988693413593"
21,"Yari Rd, Achal Avichal Chanchal, Versova, Andheri West, Mumbai, Maharashtra 400061",15,15,10:47:00,"19.138103008689452, 72.8112728747016"
22,"Silver View, 35, JP Rd, Jeet Nagar, Versova, Andheri West, Mumbai, Maharashtra 400061",18,10,08:00:00,"19.13387676213288, 72.8110012204008"
23,"37/22, Manish Nagar, Gharkul Society, Manish Nagar, 4 Bungalow, Andheri West, Mumbai, Maharashtra 400053",17,12,16:23:00,"19.128456866352263, 72.82785246841863"
24,"35, Lallubhai Park Rd, Navpada, T E Colony, Andheri West, Mumbai, Maharashtra 400058",16,18,09:38:00,"19.11279215525501, 72.84452597987004"
