id,address,parcel_weight,service_time,window_end,ola_lat,ola_lng,ola_status,ola_formatted_address,ola_confidence,ola_num_results,distance_diff_m
1,"talav chawal, 173/5, Lal Bahadur Shastri Marg, near Seetal Cinema, Kurla West, Kurla, Mumbai, Maharashtra 400070",25,15,07:42:00,19.0836,72.8826,OK,"Arabian Luqma, 173/5 Talav Chawal, Seetal Cinema, Near, Lal Bahadur Shastri Marg, Kurla West, Kurla, Mumbai, Maharashtra, 400070, India",N/A,5,
2,"3VPJ+C9P, Andheri - Kurla Rd, opp. Bombay Municipal Corporation Building, Kurla West, Kurla, Mumbai, Maharashtra 400070",10,10,16:30:00,19.086,72.8809,OK,"U2 Cake, Andheri - Kurla Rd, Opp. Bombay Municipal Corporation Building, Kurla West, Kurla, Mumbai, Maharashtra 400070, India",N/A,5,
3,"Kirol Rd, Kurla West, Kurla, Mumbai, Maharashtra 400070",22,12,15:11:00,19.0814,72.8851,OK,"Yaantra - Mumbai, Kirol Road, Unit No. F/7, Kohinoor Mall, Ward No. L, Kirol Road, Kurla West, Kurla, Mumbai, Maharashtra, 400070, India",N/A,5,
4,"Building No 1, Kirol Rd, off Lal Bahadur Shastri Marg, near Kohinoor International School, Ali Yavar Jung, Kurla West, Kurla, Mumbai, Maharashtra 400070",12,18,15:28:00,19.0762,72.8862,OK,"Dr. Manjiri Bhusari, Building No 1, Kirol Road, Kirol Rd, Off Lal Bahadur Shastri Marg, Ali Yavar Jung, Kurla West, Kurla, Mumbai, Maharashtra, 400070, India",N/A,5,
5,"Shop 7/8, Solanki Apt, Lal Bahadur Shastri Marg, Kurla West, Kurla, Mumbai, Maharashtra 400070",18,15,12:00:00,19.0796,72.8801,OK,"Sahara Hotel, Shop 7/8, Solanki Apt, Lal Bahadur Shastri Marg, Kurla West, Kurla, Mumbai, Maharashtra 400070",N/A,5,
6,"Premier Road, near SBI Bank, Khalai Village, Vidyavihar West, Vidyavihar, Mumbai, Maharashtra 400086",16,10,09:29:00,19.0814,72.8876,OK,"Premier Road, Vidyavihar West, Vidyavihar, Mumbai, Maharashtra, 400070, India",N/A,5,
7,"Hdil Premier Compound, Premier, MHADA Colony, Shop No-2, Building no-6, Vidya Vihar Rd, Kurla West, Mumbai, Maharashtra 400070",14,12,13:40:00,19.0769,72.8895,OK,"Leaf Event's & Catering Services, Shop No-2, Building No-6, HDIL Premier Compound, Premier, Mhada Colony, Vidya Vihar Rd, Kurla West, Kurla, Mumbai, Maharashtra 400070, India",N/A,5,
8,"3, 7th Rd, Rajawadi Colony, Ghatkopar East, Mumbai, Maharashtra 400077",15,18,20:58:00,19.0783,72.9006,OK,"3, Rajawadi 7th Rd, Rajawadi Colony, Ghatkopar East, Mumbai, Maharashtra, 400077, India",N/A,5,
9,"Ghatkopar - Mahul Rd, Vidyanagar, Vidya Vihar East, Ghatkopar East, Mumbai, Maharashtra 400077",8,15,08:51:00,19.0733,72.9025,OK,"Ambika Car Accessories, Ghatkopar - Mahul Rd, Ghatkopar, Vidyanagar, Vidya Vihar East, Ghatkopar East, Mumbai, Maharashtra, 400089, India",N/A,5,
10,"Dhoot Business Centre, Dhanlaxmi Building, Ground Floor, RB Mehta Rd, near Shri, Sindhu Wadi, Ghatkopar East, Mumbai, Maharashtra 400077",19,10,08:57:00,19.0774,72.9072,OK,"Starbucks, Ground Floor, Dhoot Business Centre, DhanLaxmi Building, RB Mehta Marg, Near Shri, Jaigayatri Co-Op Housing Society, Sindhu Wadi, Ghatkopar East, Mumbai, Maharashtra, 400077, India",N/A,5,
11,"A-WING, Blue Bell Society, Avdhut Nagar, Dahisar East, Mumbai, Maharashtra 400068",25,12,08:49:00,19.25713,72.86357,OK,"A-Wing, Blue Bell Society, Avdhut Nagar, Dahisar East, Mumbai, Maharashtra, 400068, India",N/A,5,
12,"Odeon Apartments, Ramnarayan Narkar Marg, Janak Kutir, MHADA Colony, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400077",10,18,16:44:00,19.0791,72.9086,OK,"Mani's Cafe, Odeon Apartments, Ramnarayan Narkar Marg, Janak Kutir, Mhada Colony, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra, 400077, India",N/A,5,
13,"1, Gala Garden View Society Valabhbagh Lane, Tilak Rd, Mumbai, Maharashtra 400077",22,15,12:00:00,19.0801,72.9056,OK,"Achija Veg Restaurant, 1, Gala Garden View Society Valabhbagh Lane, Tilak Rd, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra, 400077, India",N/A,5,
14,"Akruti Rising City, Mumbai, Maharashtra 400077",12,10,12:25:00,19.0705,72.9119,OK,"Shaddy YT, Akruti Rising City Wing K-9, Akruti Rising City, Mumbai, Maharashtra, 400075, India",N/A,5,
15,"Temple Complex, Rd Number 4, Chembur West, Sector 1, Chedda Nagar, Mumbai, Maharashtra 400089",18,12,15:47:00,19.0682,72.9061,OK,"Shri Murugan Temple, Chembur West, Temple Complex, 71, Rd Number 2, Chembur West, Sector 1, Chedda Nagar, Mumbai, Maharashtra 400071, India",N/A,5,
16,"Buntara Bhavan, E, ATI Staff CHS, Marg, Kurla, Mumbai, Maharashtra 400070",16,18,16:22:00,19.0581,72.8795,OK,"Buntara Bhavan, Bhandari Estate, Buntara Bhavana Marg Kurla East, Near, Buntara Bhavan, Buntar Bhavan Cross Rd, Kasaiwada, Ati Staff CHS, Chunabhatti, Sion, Mumbai, Maharashtra, 400024, India",N/A,5,
17,"Bunts Sangha Mumbai, Takshashila Nagar, Qureshi Nagar, Kurla, Mumbai, Maharashtra 400070",14,15,16:40:00,19.0586,72.8788,OK,"Bunts Sangha Mumbai, Takshashila Nagar, Qureshi Nagar, Kurla, Mumbai, Maharashtra, 400024, India",N/A,5,
18,"Jogani Industrial Estate, VN Purav Marg, Panchsheel Nagar, Chunabhatti, Sion, Mumbai, Maharashtra 400022",15,10,17:02:00,19.0535,72.8765,OK,"Jogani Industrial Estate, VN Purav Marg, Panchsheel Nagar, Chunabhatti, Sion, Mumbai, Maharashtra, 400022, India",N/A,5,
19,"Tadwadi, Chunabhatti, Sion, Mumbai, Maharashtra 400022",8,12,12:31:00,19.0529,72.8742,OK,"Rajesh Fish Shop, Chunabhatti Fish Market, Sion Chunabhatti, Tadwadi, Chunabhatti, Sion, Mumbai, Maharashtra, 400024, India",N/A,5,
20,"3V3F+CRV, N S Mankikar Rd, Tadwadi, Chunabhatti, Sion, Mumbai, Maharashtra 400022",19,18,09:41:00,19.0536,72.8745,OK,"N S Mankikar Rd, Tadwadi, Chunabhatti, Sion, Mumbai, Maharashtra, 400024, India",N/A,5,
21,"Bhaktidham Mandir Rd, Samarth Nagar, Chunabhatti, Sion, Mumbai, Maharashtra 400022",15,15,10:47:00,19.051,72.8748,OK,"Road Ready Motors, Aryan Building App, Bhaktidham Mandir Rd, Sion Chunabhatti, Samarth Nagar, Chunabhatti, Sion, Mumbai, Maharashtra, 400022, India",N/A,5,
22,"Kalachowki, Chunabhatti, Sion, Mumbai, Maharashtra 400022",18,10,08:00:00,19.081114,72.836485,OK,"Mumbai, Mumbai Suburban, Maharashtra, 400054, India",N/A,5,
23,"3V3F+QRH, Hill Rd, Tadwadi, Chunabhatti, Sion, Mumbai, Maharashtra 400022",17,12,16:23:00,19.05589,72.87497,OK,"3, Hill Rd, Sion Chunabhatti, Tadwadi, Chunabhatti, Sion, Mumbai, Maharashtra, 400024, India",N/A,5,
24,"Kalachowki, Chunabhatti, Sion, Mumbai, Maharashtra 400022",16,18,09:38:00,19.081114,72.836485,OK,"Mumbai, Mumbai Suburban, Maharashtra, 400054, India",N/A,5,
25,"Dr.Jawkar Lane, Gulmohar Ln, Samarth Nagar, Chunabhatti, Sion, Mumbai, Maharashtra 400022",15,15,09:56:00,19.0508,72.8719,OK,"Mohan Mansion, Dr.Jawkar Lane, Gulmohar LN, Samarth Nagar, Chunabhatti, Sion, Mumbai, Maharashtra, 400022, India",N/A,5,
26,"East, Road No. 1, Sion East, Sion, Mumbai, Maharashtra 400022",10,10,15:39:00,19.0465,72.8688,OK,"Star Exim Management Consultancy & Services Pvt Ltd, Unit No. 12 A, Mahendra Industrial Premises, Plot No.109-D, Road No. 29, Sion (E), Sion East, Sion, Sion East, Sion, Mumbai, Maharashtra 400022, India",N/A,5,
27,"1, Budhiram Seth Chawl, Sion Railway Colony, Kala Qila, Dharavi, Mumbai, Maharashtra 400022",26,12,20:27:00,19.0487,72.8598,OK,"1, Sant Rohidas Marg, Budhiram Seth Chawl, Kala Qila, Dharavi, Mumbai, Maharashtra, 400017, India",N/A,5,
28,"E, NS Mankikar Rd, near Sion Station, near by Sion Flyover, Vrindavan, Chunabhatti, Sion, Mumbai, Maharashtra 400022",14,18,10:04:00,19.0521,72.8679,OK,"Evaan Mens Wear Designer, B 15 N.S. Near Chunabhatti Bus Depot, NS Mankikar Rd, Krishnalaya Society, Vrindavan, Chunabhatti, Sion, Mumbai, Maharashtra, 400022, India",N/A,5,
29,"Shop No 2, Sanjay Gandhi Nagar, ST Road, opp. Highway Appartments, Vrindavan, Sion East, Sion, Mumbai, Maharashtra 400022",15,15,07:47:00,19.0448,72.8678,OK,"Anuj Novelty Store, Sion Fort, Heritage Apartment, 29, Mukundrao Ambedkar Rd, Beside Of, Sion East, Sion, Mumbai, Maharashtra, 400022, India",N/A,5,
30,"Rd Number 29, Air Force Quarters, Sion East, Sion, Mumbai, Maharashtra 400022",10,10,12:09:00,19.04273,72.86648,OK,"Air Force Quarters 1 Block-5, Air Force Quarters-1, Rd Number 29, Air Force Quarters, Sion East, Sion, Mumbai, Maharashtra, 400022, India",N/A,5,
31,"Shop No 2, Co-operative Housing Society, C.Rly Vastu, Laxmi Narayan Ln, near Kabutar khana, Matunga (C.R.), Matunga East, Mumbai, Maharashtra 400019",9,12,11:11:00,19.029,72.8519,OK,"Cycle.In - Your Prayer Store | Agarbatti & Puja Accessories, Cycle.In Store, Acharya Prayers, Vastu Matunga Building, Laxmi Narayan LN, Matunga (C.R.), Matunga East, Mumbai, Maharashtra, 400019, India",N/A,5,
32,"Matunga Central Railway Workshop, Hanuman Nagar, Dadar, Mumbai, Maharashtra 400019",17,18,10:29:00,19.0237,72.8453,OK,"Dadar Western Play, Zarapkar Stores, Senapati Bapat Marg, Matunga Central Railway Workshop, Hanuman Nagar, Matunga, Matunga Central Railway Workshop, Hanuman Nagar, Dadar, Mumbai, Maharashtra, 400019, India",N/A,5,
33,"Circle House, Sri Shankar Matt, Road, Matunga East, Mumbai, Maharashtra 400019",16,15,10:15:00,19.0276,72.855,OK,"Mysore Concerns, No. 11, 391, Sri Shankar Matt, Circle House, Road, Matunga East, Mumbai, Maharashtra, 400019, India",N/A,5,
34,"Shop No 17, Hari Niwas Building, Lady Jamshedji Rd, near Raja Rani Travels, Mahim West, Dadar, Mumbai, Maharashtra 400028",15,10,08:52:00,19.0281,72.8411,OK,"Monginis Cake Shop, Shop No 17, Hari Niwas Building, Lady Jamshedji Rd, Near Raja Rani Travels, Mahim West, Dadar, Mumbai, Maharashtra, 400016, India",N/A,5,
35,"Shop No: 2, Takandas Kataria Marg, opposite Karnatak Sangha, VSNL Colony, Matunga West, Mumbai, Maharashtra 400016",10,12,13:55:00,19.0315,72.8424,OK,"Janata Foot Wear, Shop No:1/2, Dutta Niwas, Takandas Kataria Marg, VSNL Colony, Matunga West, Mumbai, Maharashtra, 400016, India",N/A,5,
36,"8-12, Swatantryaveer Savarkar Rd, Mahim West, Mahim, Mumbai, Maharashtra 400016",26,18,08:54:00,19.0331,72.8391,OK,"Dr Dulari J Vora, Hinduja Hospital, Swatantrya Veer Savarkar Marg, Mahim West, 8-12, Swatantryaveer Savarkar Rd, Mahim West, Mahim, Mumbai, Maharashtra, 400016, India",N/A,5,
37,"Shop No 17, Hari Niwas Building, Lady Jamshedji Rd, near Raja Rani Travels, Mahim West, Dadar, Mumbai, Maharashtra 400028",14,15,20:21:00,19.0281,72.8411,OK,"Monginis Cake Shop, Shop No 17, Hari Niwas Building, Lady Jamshedji Rd, Near Raja Rani Travels, Mahim West, Dadar, Mumbai, Maharashtra, 400016, India",N/A,5,
38,"Happy Home,380, Telang Cross Rd Number 3, Brhmanwada, Matunga East, Mumbai, Maharashtra 400019",15,10,10:37:00,19.0287,72.8542,OK,"Happy Home, 380, Telang Cross Rd Number 3, Brhmanwada, Matunga East, Mumbai, Maharashtra, 400019, India",N/A,5,
39,"hinducolony 5lane kesar polaris,5th Ln, Hindu Colony, Dadar, Mumbai, Maharashtra 400014",10,12,08:57:00,19.0209,72.8477,OK,"Kesar Polaris, 126, 5th LN, Hindu Colony, Dadar, Mumbai, Maharashtra, 400014, India",N/A,5,
40,"32, Tilak Marg Number 2, Lokmanya Tilak Colony, Dadar, Mumbai, Maharashtra 400014",9,18,18:24:00,19.01792,72.84503,OK,"32, Tilak Marg Number, 2, Lokmanya Tilak Colony, Dadar, Mumbai, Maharashtra, 400014, India",N/A,5,
41,"Itone (India) Pvt. Ltd.,312 Jogani Industrial Estate, Senapati Bapat Marg, Dadar (west), Mumbai",10,15,14:50:00,19.0142,72.8373,OK,"Itone (India) Pvt. Ltd, Itone (400028, India) Pvt. Ltd, 312 Jogani Industrial Estate, Senapati Bapat Marg, Dadar (west), Babasaheb Ambedkar Nagar, Mumbai, Maharashtra",N/A,5,
42,"Century Mill Mhada Building,Century Mills, Lower Parel, Mumbai, Maharashtra 400030",22,10,14:57:00,19.0091,72.8252,OK,"2c, Century Mill Mhada Sankul, Century Mill Mhada Building Wing-1b, Century Mill Mhada Building, Century Mills, Lower Parel, Mumbai, Maharashtra, 400025, India",N/A,5,
43,"Ocean House, Sudam Kalu Ahire Marg, B Wing, BDD Chawls Worli, Worli, Mumbai, Maharashtra 400018",12,12,16:17:00,19.0043,72.8176,OK,"Ocean House, Sudam Kalu Ahire Marg, B Wing, BDD Chawls Worli, Worli, Mumbai, Maharashtra, 400018, India",N/A,5,
44,"Samudra mahal,Shiv Sagar Estate, Worli, Mumbai, Maharashtra 400018",18,18,10:50:00,18.9884,72.8118,OK,"Samudra Mahal, Shiv Sagar Estate, Worli, Mumbai, Maharashtra, 400018, India",N/A,5,
45,"Swatantryaveer Savarkar Rd, Dadar West, Shivaji Park, Mumbai, Maharashtra 400028",16,15,08:23:00,19.0282,72.8369,OK,"Hindusthan Post, Swatantryaveer Savarkar Rashtriya Smarak, Swatantryaveer, Swatantryaveer Savarkar Rd, Dadar West, Shivaji Park, Mumbai, Maharashtra, 400028, India",N/A,5,
46,"SHRIPAL NAGAR SOCIETY RAJA HAREEPAL, Harkness Rd, Navshanti Nagar, Malabar Hill, Mumbai, Maharashtra 400006",14,10,08:11:00,18.9498,72.7948,OK,"Shripal Nagar, Shripal Nagar Society Raja Hareepal, Harkness Rd, Navshanti Nagar, Malabar Hill, Mumbai, Maharashtra, 400006, India",N/A,5,
47,"Crawford Market, Sarang St, next to Sadanand Hotel, Lohar Chawl, Kalbadevi, Mumbai, Maharashtra 400003",15,12,15:52:00,18.9491,72.8337,OK,"89, Sarang St, Near Crawford Market, Lohar Chawl, Kalbadevi, Mumbai, Maharashtra, 400003, India",N/A,5,
48,"B.I.T. Chawl No. 4, 4, Tadwadi, Mazgaon, Mumbai, Maharashtra 400010",8,18,12:00:00,18.9674,72.8377,OK,"Bit Chawl 5, B.I.T. Chawl No. 5, 5, Tadwadi, Mazgaon, Mumbai, Maharashtra 400008, India",N/A,5,
49,"Asim Vegetables,Bhaji Market, Byculla West, Chinchpokli, Mumbai, Maharashtra 400027",19,15,14:01:00,18.9741,72.8332,OK,"Byculla Bhaji Market, Marzban Mansion, NUB Marg, Byculla West, Chinchpokli, Mumbai, Maharashtra, 400027, India",N/A,5,
50,"Dr.Ambedkar road, Bhai Bal Mukund Marg, Byculla, Mumbai, Maharashtra 400012",15,10,12:00:00,18.9858,72.8347,OK,"Vrindavan Housing Building2, Dr.Ambedkar Road, Bhai Bal Mukund Marg, Byculla, Mumbai, Maharashtra, 400012, India",N/A,5,
