"id","geom","name","code","town","district","state","st_area_sh","st_perimet"
"11603","0101000020E61000006BA837DAB63E5240882AF6431B393340",NULL,"4","Thane","Thane","Maharashtra","1823503.39946","9651.5066826"
"11606","0101000020E6100000AD0EA55EC83C5240CF1A76279D323340",NULL,"23","Thane","Thane","Maharashtra","1346401.51957","5874.97691361"
"11625","0101000020E6100000FDF887A00C40524074B22853EE313340",NULL,"32","Thane","Thane","Maharashtra","1176872.10218","7467.02184038"
"12199","0101000020E6100000E43A1CAB80395240E4ADECCD06653340",NULL,"28","Vasai-Virar","Palghar","Maharashtra","24019233.5167","36140.0210438"
"12201","0101000020E6100000009B68EB0E345240F64DB4FCE1643340",NULL,"32","Vasai-Virar","Palghar","Maharashtra","3664704.7872","10913.7780317"
"12204","0101000020E610000060EAA529D0345240DBE79535E7613340",NULL,"35","Vasai-Virar","Palghar","Maharashtra","571578.653948","3231.79247447"
"12205","0101000020E61000001449C8AF55355240EEF85B147D593340",NULL,"41","Vasai-Virar","Palghar","Maharashtra","10018961.846","15853.5412699"
"12217","0101000020E610000098B17D0C3D355240408EEA1354733340","Virar (M Cl) - Ward No.13","13","Vasai-Virar","Palghar","Maharashtra","2920623.77839","9701.58021305"
"2978","0101000020E6100000410C8E45B93552404C5D7D66F3F33240","Ward No 224","224","Greater Mumbai","Mumbai","Maharashtra","1181008.57092","5694.91216269"
"2980","0101000020E6100000733FF8E51E335240E4EA3502ACF33240","Ward No 219","219","Greater Mumbai","Mumbai","Maharashtra","2633914.87157","8469.96646404"
"2987","0101000020E61000006EDF7FE52A3552407528B1A2E9FA3240","Ward No 207","207","Greater Mumbai","Mumbai","Maharashtra","889535.762087","4756.59619889"
"3011","0101000020E610000022172B588A36524066665FE4C90A3340","Ward No 188","188","Greater Mumbai","Mumbai","Maharashtra","362652.295664","2625.77915544"
"3013","0101000020E6100000B91EECB642375240AB57BC2B24053340","Ward No 179","179","Greater Mumbai","Mumbai","Maharashtra","1098638.37778","5784.23830243"
"3025","0101000020E6100000486AFCB92F38524014A3BC794D263340","Ward No 53","53","Greater Mumbai","Mumbai Suburban","Maharashtra","12528358.6376","16515.4691324"
"3046","0101000020E61000009C3DEE5B2C355240139C428C2A333340","Ward No 31","31","Greater Mumbai","Mumbai Suburban","Maharashtra","502287.530791","3400.25585026"
"3052","0101000020E61000008CDFAC5B06375240675E092A3B353340","Ward No 24","24","Greater Mumbai","Mumbai Suburban","Maharashtra","1860885.04163","7238.85316603"
"3061","0101000020E61000006F20443A7F35524068413DB000303340","Ward No 47","47","Greater Mumbai","Mumbai Suburban","Maharashtra","2181262.408","6662.44469042"
"3063","0101000020E6100000F7A60056F735524060B13357692F3340","Ward No 46","46","Greater Mumbai","Mumbai Suburban","Maharashtra","1384260.20616","5317.51448608"
"3067","0101000020E61000009578AEDAE33652402589461D112E3340","Ward No 44","44","Greater Mumbai","Mumbai Suburban","Maharashtra","883767.506755","5049.10183159"
"3105","0101000020E6100000BE363676243B52409C8AA7BC9A223340","Ward No 116","116","Greater Mumbai","Mumbai Suburban","Maharashtra","1966720.42289","6847.99221504"
"3132","0101000020E6100000E2A6F89C4C36524065094E90C6183340","Ward No 85","85","Greater Mumbai","Mumbai Suburban","Maharashtra","1633327.27846","5297.28929883"
"3135","0101000020E6100000554622C15E365240F9EEED0BEF1B3340","Ward No 84","84","Greater Mumbai","Mumbai Suburban","Maharashtra","1277869.59932","4792.53913832"
"3137","0101000020E61000000951DC86E7365240903AD93C06223340","Ward No 78","78","Greater Mumbai","Mumbai Suburban","Maharashtra","314430.592861","2437.09968482"
"3150","0101000020E61000006CB2D46BC13B524059171982140B3340","Ward No 144","144","Greater Mumbai","Mumbai Suburban","Maharashtra","4934048.67646","12950.6851918"
"3151","0101000020E6100000D5D9C0907D3A5240F06C6D8D0C103340","Ward No 139","139","Greater Mumbai","Mumbai Suburban","Maharashtra","777527.539409","4617.5753842"
"3156","0101000020E61000005AB6F586263B5240D01C5E6354103340","Ward No 137","137","Greater Mumbai","Mumbai Suburban","Maharashtra","333596.733829","2891.06824255"
"3157","0101000020E61000007D23DEA7773B524011BDDC701E0D3340","Ward No 142","142","Greater Mumbai","Mumbai Suburban","Maharashtra","382354.96553","3021.12258085"
"3162","0101000020E6100000ABB5004EF739524012FD45857F0D3340","Ward No 153","153","Greater Mumbai","Mumbai Suburban","Maharashtra","878648.249412","4877.76190281"
"3163","0101000020E61000002AC24D70723A52405710B28F15123340","Ward No 133","133","Greater Mumbai","Mumbai Suburban","Maharashtra","963608.715268","4350.86757527"
"3166","0101000020E61000006D4F2D6F89395240C74554FEE2163340","Ward No 129","129","Greater Mumbai","Mumbai Suburban","Maharashtra","577849.19707","3244.69915903"
"3169","0101000020E6100000F89E46A6C4395240D26D112D89183340","Ward No 128","128","Greater Mumbai","Mumbai Suburban","Maharashtra","845901.977317","5750.15921552"
"3449","0101000020E61000003639F2CAD53F5240D31D5A6235283340","Ward No 13","13","Navi Mumbai","Thane","Maharashtra","405177.462265","2847.37125238"
"3455","0101000020E610000018AEA41B9D3F52403505908EA02E3340","Ward No 3","3","Navi Mumbai","Thane","Maharashtra","1095575.13125","6168.38508495"
"3472","0101000020E6100000F356C47F4D405240AD5BBB6FDD1A3340","Ward No 45","45","Navi Mumbai","Thane","Maharashtra","196425.861211","2089.94290455"
"3476","0101000020E610000077FC2D9187405240DE4B7C4B341A3340","Ward No 47","47","Navi Mumbai","Thane","Maharashtra","162538.274419","2424.58156352"
"3485","0101000020E6100000C850B3401D405240B3814AC935213340","Ward No 27","27","Navi Mumbai","Thane","Maharashtra","296645.752322","2607.91998121"
"3490","0101000020E6100000A26FD6A2C83F52400A0347F8372F3340","Ward No 2","2","Navi Mumbai","Thane","Maharashtra","464126.479013","4453.12478593"
"3499","0101000020E6100000EBBCF5743E405240A06345730D263340","Ward No 19","19","Navi Mumbai","Thane","Maharashtra","290098.323058","3088.17934304"
"3504","0101000020E6100000ABB054BDD73F52404BBAA2960E163340","Ward No 59","59","Navi Mumbai","Thane","Maharashtra","611560.322572","3893.13813376"
"3510","0101000020E61000006854D88CD24052409F786781E3113340","Ward No 66","66","Navi Mumbai","Thane","Maharashtra","199228.008582","1996.38158072"
"3520","0101000020E61000007B3B57C186405240A7FB955A10103340","Ward No 76","76","Navi Mumbai","Thane","Maharashtra","385069.18004","3722.63225216"
"3522","0101000020E6100000D2750E0F5A405240551CDA054E0E3340","Ward No 78","78","Navi Mumbai","Thane","Maharashtra","2144903.7719","7277.94408493"
"3526","0101000020E61000009414CC7B1C4152401F3066169F0C3340","Ward No 82","82","Navi Mumbai","Thane","Maharashtra","272397.24085","3169.95349819"
"3534","0101000020E6100000815C23B799415240BB770AF56F0A3340","Ward No 90","90","Navi Mumbai","Thane","Maharashtra","693154.454291","3881.10222934"
"3535","0101000020E6100000B934977E8741524075ACF9728B053340","Ward No 99","99","Navi Mumbai","Thane","Maharashtra","685174.881655","4006.08926545"
"3546","0101000020E61000000FDDC0FC4E425240286DF67FA7073340","Ward No 102","102","Navi Mumbai","Thane","Maharashtra","651372.103868","3960.27112754"
"3558","0101000020E6100000EA5E210087455240CBA1A78EE53B3340","Ward No 50","50","Kalyan-Dombivli","Thane","Maharashtra","771701.362589","4562.30237061"
"3562","0101000020E61000001EDAB8B9F745524063D5DC6338353340","Ward No 81","81","Kalyan-Dombivli","Thane","Maharashtra","293437.088725","3221.53368957"
"3566","0101000020E6100000E01C12B0994552400E985108D4343340","Ward No 79","79","Kalyan-Dombivli","Thane","Maharashtra","290830.01602","2484.71474922"
